url	company	normalized_title	location	date_first_seen	score	grade	status	last_attempt_at	attempt_count
	Firmable (2026-03-03)			2026-04-21			seen	2026-04-21	1
	SolveAI (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Spintly (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Stake (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Gropyus (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Newo.ai (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Payr (2026-03-03)			2026-04-21			seen	2026-04-21	1
	RealPage (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Lone Wolf Technologies (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Maverix Advisory Group (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Rentberry (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Haven (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Inviscid AI (2026-03-03)			2026-04-21			seen	2026-04-21	1
	ArchiLabs (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Aldara (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Trayd (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Eragon (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Sycamore (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Nexus (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Baselane (2026-04-13)			2026-04-21			seen	2026-04-21	1
	AppWork (2026-04-13)			2026-04-21			seen	2026-04-21	1
	ConCntric (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Sensera Systems (2026-04-13)			2026-04-21			seen	2026-04-21	1
	XBuild (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Wonderful (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Lio (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Acelab (2026-04-13)			2026-04-21			seen	2026-04-21	1
	CYVL (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Spacial (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Oasis Security (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Jump (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Runware (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Letter AI (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Code Metal (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Slang AI (2026-04-13)			2026-04-21			seen	2026-04-21	1
	tem (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Rewaa (2026-04-13)			2026-04-21			seen	2026-04-21	1
	osapiens (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Planna (2026-04-13)			2026-04-21			seen	2026-04-21	1
